0.26445,10,1,1.27
0.26689,10,1,1.28
0.26933,10,1,1.29
0.27177,10,1,1.29
0.27422,10,1,1.3
0.27666,10,1,1.32
0.2791,10,1,1.33
0.28154,10,1,1.34
0.28398,10,1,1.35
0.28642,10,1,1.36
0.28886,10,1,1.37
0.29131,10,1,1.38
0.29375,10,1,1.39
0.29619,10,1,1.4
0.29863,10,1,1.41
0.30107,10,1,1.42
0.30351,10,1,1.43
0.30595,10,1,1.44
0.3084,10,1,1.46
0.31084,10,1,1.47
0.31328,10,1,1.48
0.31572,10,1,1.5
0.31816,10,1,1.51
0.3206,10,1,1.52
0.32305,10,1,1.53
0.32549,10,1,1.55
0.32793,10,1,1.56
0.33037,10,1,1.57
0.33281,10,1,1.59
0.33525,10,1,1.6
0.33769,10,1,1.61
0.34013,10,1,1.63
0.34258,10,1,1.64
0.34502,10,1,1.66
0.34746,10,1,1.67
0.3499,10,1,1.69
0.35234,10,1,1.7
0.35478,10,1,1.72
0.35722,10,1,1.73
0.35967,10,1,1.75
0.36211,10,1,1.76
0.36455,10,1,1.78
0.36699,10,1,1.8
0.36943,10,1,1.81
0.37187,10,1,1.83
0.37431,10,1,1.84
0.37676,10,1,1.86
0.3792,10,1,1.88
0.38164,10,1,1.89
0.38408,10,1,1.91
0.38652,10,1,1.93
0.38896,10,1,1.95
0.3914,10,1,1.96
0.39385,10,1,1.98
0.39629,10,1,2
0.39873,10,1,2.02
0.40117,10,1,2.04
0.39873,10,1,1.84
0.39629,10,1,1.69
0.39385,10,1,1.57
0.3914,10,1,1.47
0.38896,10,1,1.38
0.38652,10,1,1.3
0.38408,10,1,1.23
0.38164,10,1,1.16
0.3792,10,1,1.1
0.37676,10,1,1.04
0.37431,10,1,0.99517
0.37187,10,1,0.94261
0.36943,10,1,0.89488
0.36699,10,1,0.848
0.36455,10,1,0.80254
0.36211,10,1,0.76248
0.35967,10,1,0.72583
0.35722,10,1,0.68491
0.35478,10,1,0.64855
0.35234,10,1,0.61502
0.3499,10,1,0.58007
0.34746,10,1,0.54882
0.34502,10,1,0.51785
0.34258,10,1,0.48972
